id,name,brand,price,rating,count_review,status_Official,power_badge,location,shop_name,URL
14497110838,"ACER Nitro V 15 ANV15-51 i5-13420H RTX3050 512GB 15.6"" FHD IPS 144Hz W11 OHS",acer,12572000,5.0,177,False,True,Kediri,hexxacom,https://www.tokopedia.com/hexxacom/acer-nitro-v-15-anv15-51-i5-13420h-rtx3050-512gb-15-6-fhd-ips-144hz-w11-ohs-8-gb-3b7a1?extParam=ivf%3Dfalse%26src%3Dsearch
13889594357,ASUS TUF Gaming A15 FA506NC Ryzen 5-7535HS RTX3050 512GB 144Hz,asus,11149000,5.0,38,True,True,Jakarta Pusat,TeknoTrend,https://www.tokopedia.com/teknotrend/asus-tuf-gaming-a15-fa506nc-ryzen-5-7535hs-rtx3050-512gb-144hz-16gb-no-bag-non-bundling-27927?extParam=ivf%3Dtrue%26src%3Dsearch
12989547575,Asus Tuf Gaming A15 Ryzen 5 7535HS 16GB 512 RTX3050 FA506NC-R535BXT-O,asus,11799000,5.0,2,True,True,Medan,mikrotek,https://www.tokopedia.com/mikrotek/asus-tuf-gaming-a15-ryzen-5-7535hs-16gb-512-rtx3050-fa506nc-r535bxt-o-graphite-black-22896?extParam=ivf%3Dfalse%26src%3Dsearch
12875507118,ACER Predator Helios Neo 16 72 979D RTX4060 i9 14900HX 16/1TBSSD 165Hz,acer,26849000,5.0,9,True,True,Jakarta Utara,Acer Authorized Store Jakarta,https://www.tokopedia.com/acer-jakarta/acer-predator-helios-neo-16-72-979d-rtx4060-i9-14900hx-16-1tbssd-165hz-laptop-16-1tb-ssd-9fe8f?extParam=ivf%3Dfalse%26src%3Dsearch
12742616191,"ACER Nitro V 15 ANV15-51 i9-13900H 512GB RTX4060 8GB 15.6"" FHD OHS W11",acer,18399000,5.0,7,True,True,Jakarta Pusat,Protech Computer,https://www.tokopedia.com/protechcom/acer-nitro-v-15-anv15-51-i9-13900h-512gb-rtx4060-8gb-15-6-fhd-ohs-w11-ddr5-16gb-bce57?extParam=ivf%3Dfalse%26src%3Dsearch
12388717189,"ASUS TUF Gaming F15 FX507ZC4 i5-12500H RTX3050 512GB 15.6"" FHD W11 OHS",asus,12469000,5.0,47,True,True,Jakarta Pusat,Collins Official,https://www.tokopedia.com/collinsofficial/asus-tuf-gaming-f15-fx507zc4-i5-12500h-rtx3050-512gb-15-6-fhd-w11-ohs-ram-8gb-a86ae?extParam=ivf%3Dfalse%26src%3Dsearch
11764807538,"Acer Nitro V 15 ANV15-51 i5-13420H 8GB 512GB RTX2050 4GB 15.6"" OHS W11",acer,10799000,5.0,26,True,True,Jakarta Pusat,Protech Computer,https://www.tokopedia.com/protechcom/acer-nitro-v-15-anv15-51-i5-13420h-8gb-512gb-rtx2050-4gb-15-6-ohs-w11-ddr5-8gb-a39ab?extParam=ivf%3Dfalse%26src%3Dsearch
12202386463,HP VICTUS GAMING 15 FA0178TX RTX3050 intel i5 12450H RAM 16GB 512SSD,hp,12119000,5.0,11,True,True,Jakarta Utara,AGRES ID,https://www.tokopedia.com/agresid/hp-victus-gaming-15-fa0178tx-rtx3050-intel-i5-12450h-ram-16gb-512ssd-non-bundle-16gb-e6275?extParam=ivf%3Dfalse%26src%3Dsearch
14476472526,LENOVO GAMING LOQ 15IAX9 1JID GREY CORE i5-1245HX RTX3050 12GB 512GB,lenovo,12605000,5.0,18,True,True,Surabaya,Lenovo Authorized Store Surabaya,https://www.tokopedia.com/lenovosurabaya/lenovo-gaming-loq-15iax9-1jid-grey-core-i5-1245hx-rtx3050-12gb-512gb-non-bundle-jadi-16gb-8333c?extParam=ivf%3Dfalse%26src%3Dsearch
12615971708,ACER Nitro V 15 ANV15 51 79Y1 RTX2050 i7 13620H 16/512GB SSD FHD 144Hz,acer,13599000,5.0,15,True,True,Jakarta Utara,Acer Authorized Store Jakarta,https://www.tokopedia.com/acer-jakarta/acer-nitro-v-15-anv15-51-79y1-rtx2050-i7-13620h-16-512gb-ssd-fhd-144hz-laptop-16-512gb-ssd-afb74?extParam=ivf%3Dtrue%26src%3Dsearch
